Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",77.8000,-32.2000,270.0000,top
"C2","10u","C_0805_2012Metric",164.8300,-30.7300,180.0000,top
"C3","10u","C_0805_2012Metric",161.2300,-33.7300,0.0000,top
"C4","10u","C_0805_2012Metric",164.1700,-24.0300,90.0000,top
"C5","10u","C_0805_2012Metric",157.7900,-37.6700,180.0000,top
"C6","10u","C_0805_2012Metric",157.8200,-33.7300,180.0000,top
"C7","10u","C_0805_2012Metric",161.2000,-37.6800,0.0000,top
"C8","10u","C_0805_2012Metric",154.4200,-29.6700,90.0000,top
"C9","10u","C_0805_2012Metric",157.8000,-35.6900,180.0000,top
"C10","10u","C_0805_2012Metric",161.2100,-35.7100,0.0000,top
"C11","18p","C_0805_2012Metric",63.9600,-46.3600,90.0000,top
"C12","1u","C_0805_2012Metric",100.7300,-42.5300,180.0000,top
"C13","100n","C_0805_2012Metric",108.7400,-39.4600,0.0000,top
"C14","1u","C_0805_2012Metric",102.2000,-40.5000,180.0000,top
"C15","100n","C_0805_2012Metric",94.8875,-53.8500,180.0000,top
"C16","100n","C_0805_2012Metric",113.2000,-47.7000,270.0000,top
"C17","100n","C_0805_2012Metric",102.1900,-38.5400,180.0000,top
"C18","100n","C_0805_2012Metric",94.9112,-49.8958,180.0000,top
"C19","100n","C_0805_2012Metric",103.3500,-52.7000,270.0000,top
"C20","100n","C_0805_2012Metric",108.6400,-52.8000,270.0000,top
"C21","100n","C_0805_2012Metric",99.4400,-39.8500,90.0000,top
"C22","15p","C_0805_2012Metric",113.2000,-51.3877,180.0000,top
"C23","100n","C_0805_2012Metric",115.7500,-44.2700,0.0000,top
"C24","10u","C_0805_2012Metric",121.8100,-49.4200,180.0000,top
"C25","18p","C_0805_2012Metric",63.9600,-49.7600,270.0000,top
"C26","15p","C_0805_2012Metric",117.4000,-48.7000,90.0000,top
"C27","10u","C_0805_2012Metric",125.2300,-49.4500,180.0000,top
"C28","10u","C_0805_2012Metric",156.6500,-53.2200,90.0000,top
"C29","1n","C_0805_2012Metric",155.8400,-47.1600,90.0000,top
"C30","100n","C_0805_2012Metric",163.2100,-40.7200,90.0000,top
"C31","1.2n","C_0805_2012Metric",160.6700,-49.8200,90.0000,top
"C32","10u","C_0805_2012Metric",160.6200,-53.2200,90.0000,top
"C33","100u","CP_EIA-7343-31_Kemet-D",154.7790,-57.4142,0.0000,top
"C34","1n","C_0805_2012Metric",159.6400,-47.1100,0.0000,top
"C35","100n","C_0805_2012Metric",155.8400,-40.3700,270.0000,top
"C36","10u","C_0805_2012Metric",158.6300,-53.2300,90.0000,top
"C37","10u","C_0805_2012Metric",169.1300,-53.7300,90.0000,top
"C38","10u","C_0805_2012Metric",69.6382,-52.9438,180.0000,top
"C39","10u","C_0805_2012Metric",56.3100,-36.2500,270.0000,top
"C40","10u","C_0805_2012Metric",54.3500,-36.2500,270.0000,top
"C41","10u","C_0805_2012Metric",39.5646,-24.9276,90.0000,top
"C42","10u","C_0805_2012Metric",41.5246,-24.9276,90.0000,top
"C43","100u","CP_EIA-7343-31_Kemet-D",36.4150,-29.0424,0.0000,top
"C44","10u","C_0805_2012Metric",49.9800,-40.2600,90.0000,top
"C45","10u","C_0805_2012Metric",58.2400,-43.9900,0.0000,top
"C46","100n","C_0805_2012Metric",51.5200,-60.3000,180.0000,top
"C47","100n","C_0805_2012Metric",55.0300,-51.4400,270.0000,top
"C48","100n","C_0805_2012Metric",47.0100,-42.9600,90.0000,top
"C49","100n","C_0805_2012Metric",47.0100,-47.7400,270.0000,top
"C50","1n","C_0805_2012Metric",27.7500,-59.6500,0.0000,top
"C51","1n","C_0805_2012Metric",57.7000,-32.7500,270.0000,top
"C52","100n","C_0805_2012Metric",142.9000,-44.5000,270.0000,top
"CM1","CM4","Raspberry-Pi-4-Compute-Module",89.0000,-63.5000,180.0000,top
"D1","SM4007","D_SOD-123F",83.6616,-41.9214,270.0000,top
"D2","LED Y","LED_0805_2012Metric",116.7000,-57.6800,180.0000,top
"D6","LED Y","LED_0805_2012Metric",107.0900,-77.7525,270.0000,top
"D7","LED R","LED_0805_2012Metric",105.0900,-77.7525,270.0000,top
"F1","Polyfuse 1.8A","Fuse_1812_4532Metric",166.0700,-27.7100,180.0000,top
"FID1","Fiducial","Fiducial_1.5mm_Mask3mm",20.0000,-28.0000,0.0000,top
"FID2","Fiducial","Fiducial_1.5mm_Mask3mm",190.0056,-27.9944,0.0000,top
"FID3","Fiducial","Fiducial_1.5mm_Mask3mm",20.0056,-122.9944,0.0000,top
"FID4","Fiducial","Fiducial_1.5mm_Mask3mm",190.0056,-122.9944,0.0000,top
"J9","USB_OTG","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",20.6700,-56.5000,270.0000,top
"J14","JST PH 4","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",146.2366,-52.9692,90.0000,top
"J28","JST PH 3","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",137.3000,-52.8000,90.0000,top
"L1","120_100MHz","L_0603_1608Metric",81.0216,-43.4214,0.0000,top
"L2","120_100MHz","L_0603_1608Metric",90.0090,-43.6474,0.0000,top
"L3","120_100MHz","L_0603_1608Metric",90.0090,-42.1742,0.0000,top
"L4","120_100MHz","L_0603_1608Metric",79.8216,-41.1964,270.0000,top
"L5","SRN6045TA-3R3Y","L_Bourns_SRN6045TA",164.9000,-50.1400,270.0000,top
"Q1","FDS4435BZ","SO08-E3",159.8600,-28.1600,0.0000,top
"R1","1K","R_0805_2012Metric",151.1976,-23.7338,90.0000,top
"R2","1K","R_0805_2012Metric",42.7000,-47.4600,270.0000,top
"R3","220R","R_0805_2012Metric",81.5466,-40.9964,90.0000,top
"R4","33R","R_0805_2012Metric",93.2090,-42.3914,180.0000,top
"R5","10R","R_0805_2012Metric",93.2090,-44.2914,0.0000,top
"R6","27R","R_0805_2012Metric",99.4000,-46.3600,0.0000,top
"R7","220R","R_0805_2012Metric",137.1200,-43.7900,90.0000,top
"R8","1K","R_0805_2012Metric",94.9375,-51.8500,0.0000,top
"R10","27R","R_0805_2012Metric",99.4000,-44.4600,0.0000,top
"R11","1K","R_0805_2012Metric",116.7000,-51.3877,0.0000,top
"R12","12K","R_0805_2012Metric",153.9100,-47.1300,90.0000,top
"R13","10R","R_0805_2012Metric",163.2100,-44.1300,90.0000,top
"R14","20K","R_0805_2012Metric",158.6700,-49.8000,270.0000,top
"R15","2K2","R_0805_2012Metric",155.8300,-43.7700,90.0000,top
"R16","1K","R_0805_2012Metric",109.0400,-77.7025,90.0000,top
"R17","2K2","R_0805_2012Metric",103.1900,-77.7525,90.0000,top
"R18","3K9","R_0805_2012Metric",149.8500,-45.2500,180.0000,top
"R19","3K9","R_0805_2012Metric",149.7500,-42.9500,180.0000,top
"R20","220R","R_0805_2012Metric",139.7676,-46.1366,180.0000,top
"R21","2K2","R_0805_2012Metric",111.8900,-54.8100,0.0000,top
"R22","2K2","R_0805_2012Metric",42.8666,-59.2176,180.0000,top
"R23","2K2","R_0805_2012Metric",45.5082,-60.1320,270.0000,top
"R24","12K","R_0805_2012Metric",60.9700,-44.6200,90.0000,top
"R25","36K","R_0805_2012Metric",50.3800,-52.6644,270.0000,top
"R26","36K","R_0805_2012Metric",48.4800,-52.6644,270.0000,top
"R27","36K","R_0805_2012Metric",60.7000,-47.9800,0.0000,top
"R28","36K","R_0805_2012Metric",52.2800,-52.6744,270.0000,top
"R29","36K","R_0805_2012Metric",72.9910,-48.1178,270.0000,top
"SW5","Tactile Button","SW_PUSH-12mm_Wuerth",30.0000,-67.0000,0.0000,top
"SW6","Tactile Button","SW_PUSH-12mm_Wuerth",105.0000,-67.0000,0.0000,top
"SW7","Tactile Button","SW_PUSH-12mm_Wuerth",180.0000,-67.0000,0.0000,top
"SW8","Tactile Button","SW_PUSH-12mm_Wuerth",30.0000,-119.0000,0.0000,top
"SW9","Tactile Button","SW_PUSH-12mm_Wuerth",105.0000,-119.0000,0.0000,top
"SW10","Tactile Button","SW_PUSH-12mm_Wuerth",180.0000,-119.0000,0.0000,top
"U1","74AHCT1G32SE-7","SOT-353_SC-70-5",139.7500,-43.5000,180.0000,top
"U2","TLP2761","SO-6L_10x3.84mm_P1.27mm",90.4616,-39.2714,270.0000,top
"U3","RP2040","RP2040-QFN-56",107.4000,-45.6000,0.0000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",99.5000,-52.4500,0.0000,top
"U5","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",122.8900,-54.0500,0.0000,top
"U6","AP64501SP-13","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias",159.5200,-42.4000,180.0000,top
"U7","74AHCT1G32SE-7","SOT-353_SC-70-5",100.5906,-77.8525,180.0000,top
"U8","FSUSB42MUX","TSSOP-10_3x3mm_P0.5mm",56.1200,-57.1100,90.0000,top
"U9","USB2514B_Bi","QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm",52.1900,-45.9600,180.0000,top
"U10","AP2553W6","SOT-23-6",73.0926,-51.8770,270.0000,top
"U11","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",25.0500,-56.9500,90.0000,top
"U12","AT24CS01-STUM","SOT-23-5",146.0000,-44.5000,0.0000,top
"Y1","Crystal_Small","Crystal_SMD_5032-2Pin_5.0x3.2mm",66.8400,-48.1200,270.0000,top
"Y2","ABM8-272-T3","ABM8-272-T3_ABR",116.0000,-54.0877,90.0000,top
