Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",59.7944,98.7944,-90.0000,top
"C2","10u","C_0805_2012Metric",146.8244,100.2644,180.0000,top
"C3","10u","C_0805_2012Metric",143.2244,97.2644,0.0000,top
"C4","10u","C_0805_2012Metric",146.1644,106.9644,90.0000,top
"C5","10u","C_0805_2012Metric",139.7844,93.3244,180.0000,top
"C6","10u","C_0805_2012Metric",139.8144,97.2644,180.0000,top
"C7","10u","C_0805_2012Metric",143.1944,93.3144,0.0000,top
"C8","10u","C_0805_2012Metric",136.4144,101.3244,90.0000,top
"C9","10u","C_0805_2012Metric",139.7944,95.3044,180.0000,top
"C10","10u","C_0805_2012Metric",143.2044,95.2844,0.0000,top
"C11","18p","C_0805_2012Metric",45.9544,84.6344,90.0000,top
"C12","1u","C_0805_2012Metric",82.7244,88.4644,180.0000,top
"C13","100n","C_0805_2012Metric",90.7344,91.5344,0.0000,top
"C14","1u","C_0805_2012Metric",84.1944,90.4944,180.0000,top
"C15","100n","C_0805_2012Metric",76.8819,77.1444,180.0000,top
"C16","100n","C_0805_2012Metric",95.1944,83.2944,-90.0000,top
"C17","100n","C_0805_2012Metric",84.1844,92.4544,180.0000,top
"C18","100n","C_0805_2012Metric",76.9056,81.0986,180.0000,top
"C19","100n","C_0805_2012Metric",85.3444,78.2944,-90.0000,top
"C20","100n","C_0805_2012Metric",90.6344,78.1944,-90.0000,top
"C21","100n","C_0805_2012Metric",81.4344,91.1444,90.0000,top
"C22","15p","C_0805_2012Metric",95.1944,79.6067,180.0000,top
"C23","100n","C_0805_2012Metric",97.7444,86.7244,0.0000,top
"C24","10u","C_0805_2012Metric",103.8044,81.5744,180.0000,top
"C25","18p","C_0805_2012Metric",45.9544,81.2344,-90.0000,top
"C26","15p","C_0805_2012Metric",99.3944,82.2944,90.0000,top
"C27","10u","C_0805_2012Metric",107.2244,81.5444,180.0000,top
"C28","10u","C_0805_2012Metric",138.6444,77.7744,90.0000,top
"C29","1n","C_0805_2012Metric",137.8344,83.8344,90.0000,top
"C30","100n","C_0805_2012Metric",145.2044,90.2744,90.0000,top
"C31","1.2n","C_0805_2012Metric",142.6644,81.1744,90.0000,top
"C32","10u","C_0805_2012Metric",142.6144,77.7744,90.0000,top
"C33","100u","CP_EIA-7343-31_Kemet-D",136.7734,73.5802,180.0000,top
"C34","1n","C_0805_2012Metric",141.6344,83.8844,0.0000,top
"C35","100n","C_0805_2012Metric",137.8344,90.6244,-90.0000,top
"C36","10u","C_0805_2012Metric",140.6244,77.7644,90.0000,top
"C37","10u","C_0805_2012Metric",151.1244,77.2644,90.0000,top
"C38","10u","C_0805_2012Metric",51.6326,78.0506,180.0000,top
"C39","10u","C_0805_2012Metric",38.3044,94.7444,-90.0000,top
"C40","10u","C_0805_2012Metric",36.3444,94.7444,-90.0000,top
"C41","10u","C_0805_2012Metric",21.5590,106.0668,90.0000,top
"C42","10u","C_0805_2012Metric",23.5190,106.0668,90.0000,top
"C43","100u","CP_EIA-7343-31_Kemet-D",18.4094,101.9520,180.0000,top
"C44","10u","C_0805_2012Metric",31.9744,90.7344,90.0000,top
"C45","10u","C_0805_2012Metric",40.2344,87.0044,0.0000,top
"C46","100n","C_0805_2012Metric",33.5144,70.6944,180.0000,top
"C47","100n","C_0805_2012Metric",37.0244,79.5544,-90.0000,top
"C48","100n","C_0805_2012Metric",29.0044,88.0344,90.0000,top
"C49","100n","C_0805_2012Metric",29.0044,83.2544,-90.0000,top
"C50","1n","C_0805_2012Metric",9.7444,71.3444,0.0000,top
"C51","1n","C_0805_2012Metric",39.6944,98.2444,-90.0000,top
"C52","100n","C_0805_2012Metric",124.8944,86.4944,-90.0000,top
"CM1","CM4","Raspberry-Pi-4-Compute-Module",70.9944,67.4944,180.0000,top
"D1","SM4007","D_SOD-123F",65.6560,89.0730,-90.0000,top
"D2","LED Y","LED_0805_2012Metric",98.6944,73.3144,180.0000,top
"D6","LED Y","LED_0805_2012Metric",89.0844,53.2419,-90.0000,top
"D7","LED R","LED_0805_2012Metric",87.0844,53.2419,-90.0000,top
"F1","Polyfuse 1.8A","Fuse_1812_4532Metric",148.0644,103.2844,180.0000,top
"FID1","Fiducial","Fiducial_1.5mm_Mask3mm",1.9944,102.9944,0.0000,top
"FID2","Fiducial","Fiducial_1.5mm_Mask3mm",172.0000,103.0000,0.0000,top
"FID3","Fiducial","Fiducial_1.5mm_Mask3mm",2.0000,8.0000,0.0000,top
"FID4","Fiducial","Fiducial_1.5mm_Mask3mm",172.0000,8.0000,0.0000,top
"H2","Midi Bites","MIDI bites",87.0944,110.9194,0.0000,top
"J2","DIN5","CP-2350",71.9944,108.9944,180.0000,top
"J4","DIN5","CP-2350",101.9944,108.9944,180.0000,top
"J5","Jack 6.35mm","Jack_6.35mm_Horizontal",157.6094,97.1944,0.0000,top
"J6","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",157.6316,102.7958,90.0000,top
"J7","Barrel_Jack_MountingPin","BarrelJack_Wuerth_6941xx301002",158.5316,100.6058,180.0000,top
"J8","Jack 6.35mm","Jack_6.35mm_Horizontal",16.3944,80.9944,180.0000,top
"J9","USB_OTG","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",2.6644,74.4944,-90.0000,top
"J10","USB_A","USB_A_Molex_67643_Horizontal",35.0744,99.2444,180.0000,top
"J12","Debug","PinHeader_1x03_P2.54mm_Vertical",111.3094,86.5444,90.0000,top
"J14","JST PH 4","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",128.2310,78.0252,90.0000,top
"J16","Debug","PinHeader_1x03_P2.54mm_Vertical",89.2194,49.6944,-90.0000,top
"J18","Jack 6.35mm","Jack_6.35mm_Horizontal",157.5944,56.2144,0.0000,top
"J19","Jack 6.35mm","Jack_6.35mm_Horizontal",16.3944,19.7944,180.0000,top
"J20","Jack 6.35mm","Jack_6.35mm_Horizontal",16.3944,39.9944,180.0000,top
"J22","Jack 6.35mm","Jack_6.35mm_Horizontal",157.5944,35.9994,0.0000,top
"J28","JST PH 3","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",119.2944,78.1944,90.0000,top
"L1","120_100MHz","L_0603_1608Metric",63.0160,87.5730,0.0000,top
"L2","120_100MHz","L_0603_1608Metric",72.0034,87.3470,0.0000,top
"L3","120_100MHz","L_0603_1608Metric",72.0034,88.8202,0.0000,top
"L4","120_100MHz","L_0603_1608Metric",61.8160,89.7980,-90.0000,top
"L5","SRN6045TA-3R3Y","L_Bourns_SRN6045TA",146.8944,80.8544,-90.0000,top
"Q1","FDS4435BZ","SO08-E3",141.8544,102.8344,0.0000,top
"R1","1K","R_0805_2012Metric",133.1920,107.2606,90.0000,top
"R2","1K","R_0805_2012Metric",24.6944,83.5344,-90.0000,top
"R3","220R","R_0805_2012Metric",63.5410,89.9980,90.0000,top
"R4","33R","R_0805_2012Metric",75.2034,88.6030,180.0000,top
"R5","10R","R_0805_2012Metric",75.2034,86.7030,0.0000,top
"R6","27R","R_0805_2012Metric",81.3944,84.6344,0.0000,top
"R7","220R","R_0805_2012Metric",119.1144,87.2044,90.0000,top
"R8","1K","R_0805_2012Metric",76.9319,79.1444,0.0000,top
"R9","DNF","R_0805_2012Metric",76.9319,75.1444,0.0000,top
"R10","27R","R_0805_2012Metric",81.3944,86.5344,0.0000,top
"R11","1K","R_0805_2012Metric",98.6944,79.6067,0.0000,top
"R12","12K","R_0805_2012Metric",135.9044,83.8644,90.0000,top
"R13","10R","R_0805_2012Metric",145.2044,86.8644,90.0000,top
"R14","20K","R_0805_2012Metric",140.6644,81.1944,-90.0000,top
"R15","2K2","R_0805_2012Metric",137.8244,87.2244,90.0000,top
"R16","1K","R_0805_2012Metric",91.0344,53.2919,90.0000,top
"R17","2K2","R_0805_2012Metric",85.1844,53.2419,90.0000,top
"R18","3K9","R_0805_2012Metric",131.8444,85.7444,180.0000,top
"R19","3K9","R_0805_2012Metric",131.7444,88.0444,180.0000,top
"R20","220R","R_0805_2012Metric",121.7620,84.8578,180.0000,top
"R21","2K2","R_0805_2012Metric",93.8844,76.1844,0.0000,top
"R22","2K2","R_0805_2012Metric",24.8610,71.7768,180.0000,top
"R23","2K2","R_0805_2012Metric",27.5026,70.8624,-90.0000,top
"R24","12K","R_0805_2012Metric",42.9644,86.3744,90.0000,top
"R25","36K","R_0805_2012Metric",32.3744,78.3300,-90.0000,top
"R26","36K","R_0805_2012Metric",30.4744,78.3300,-90.0000,top
"R27","36K","R_0805_2012Metric",42.6944,83.0144,0.0000,top
"R28","36K","R_0805_2012Metric",34.2744,78.3200,-90.0000,top
"R29","36K","R_0805_2012Metric",54.9854,82.8766,-90.0000,top
"SW1","24P/R 24mm","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles",42.2444,99.4944,0.0000,top
"SW2","24P/R 24mm","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles",117.2444,99.4944,0.0000,top
"SW3","Micro Button","SW_SPST_B3U-1000P",73.5044,77.3444,90.0000,top
"SW4","Micro Button","SW_SPST_B3U-1000P",106.0044,86.1344,90.0000,top
"SW5","Tactile Button","SW_PUSH-12mm_Wuerth",11.9944,63.9944,0.0000,top
"SW6","Tactile Button","SW_PUSH-12mm_Wuerth",86.9944,63.9944,0.0000,top
"SW7","Tactile Button","SW_PUSH-12mm_Wuerth",161.9944,63.9944,0.0000,top
"SW8","Tactile Button","SW_PUSH-12mm_Wuerth",11.9944,11.9944,0.0000,top
"SW9","Tactile Button","SW_PUSH-12mm_Wuerth",86.9944,11.9944,0.0000,top
"SW10","Tactile Button","SW_PUSH-12mm_Wuerth",161.9944,11.9944,0.0000,top
"U1","74AHCT1G32SE-7","SOT-353_SC-70-5",121.7444,87.4944,0.0000,top
"U2","TLP2761","SO-6L_10x3.84mm_P1.27mm",72.4560,91.7230,0.0000,top
"U3","RP2040","RP2040-QFN-56",89.3944,85.3944,90.0000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",81.4944,78.5444,90.0000,top
"U5","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",104.8844,76.9444,180.0000,top
"U6","AP64501SP-13","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias",141.5144,88.5944,-90.0000,top
"U7","74AHCT1G32SE-7","SOT-353_SC-70-5",82.5850,53.1419,0.0000,top
"U8","FSUSB42MUX","TSSOP-10_3x3mm_P0.5mm",38.1144,73.8844,180.0000,top
"U9","USB2514B_Bi","QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm",34.1844,85.0344,-90.0000,top
"U10","AP2553W6","SOT-23-6",55.0870,79.1174,90.0000,top
"U11","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",7.0444,74.0444,180.0000,top
"U12","AT24CS01-STUM","SOT-23-5",127.9944,86.4944,180.0000,top
"Y1","Crystal_Small","Crystal_SMD_5032-2Pin_5.0x3.2mm",48.8344,82.8744,-90.0000,top
"Y2","ABM8-272-T3","ABM8-272-T3_ABR",97.9944,76.9067,90.0000,top
